ux uy uz
0.00000000e+00 3.26022899e+02 -8.30388884e+01
0.00000000e+00 2.79807360e+02 -8.75078487e+01
0.00000000e+00 2.30446763e+02 -9.27965063e+01
0.00000000e+00 1.78554955e+02 -9.87819071e+01
0.00000000e+00 1.24777369e+02 -1.05306569e+02
0.00000000e+00 6.97844044e+01 -1.12185941e+02
0.00000000e+00 1.42648224e+01 -1.19217261e+02
0.00000000e+00 -4.10809335e+01 -1.26189434e+02
0.00000000e+00 -9.55475691e+01 -1.32893483e+02
0.00000000e+00 -1.48432059e+02 -1.39133103e+02
0.00000000e+00 -1.99041173e+02 -1.44734829e+02
0.00000000e+00 -2.46699520e+02 -1.49557311e+02
0.00000000e+00 -2.90758178e+02 -1.53499238e+02
0.00000000e+00 -3.30603914e+02 -1.56505478e+02
0.00000000e+00 -3.65668934e+02 -1.58571090e+02
0.00000000e+00 -3.95441042e+02 -1.59742958e+02
0.00000000e+00 -4.19474061e+02 -1.60118899e+02
0.00000000e+00 -4.37398419e+02 -1.59844137e+02
0.00000000e+00 -4.48931779e+02 -1.59105030e+02
0.00000000e+00 -4.53889485e+02 -1.58119940e+02
0.00000000e+00 -4.52194047e+02 -1.57127262e+02
0.00000000e+00 -4.43882257e+02 -1.56371055e+02
0.00000000e+00 -4.29108358e+02 -1.56085443e+02
0.00000000e+00 -4.08143246e+02 -1.56479535e+02
0.00000000e+00 -3.81372913e+02 -1.57724320e+02
0.00000000e+00 -3.49301191e+02 -1.59941516e+02
0.00000000e+00 -3.12556154e+02 -1.63192823e+02
0.00000000e+00 -2.71884137e+02 -1.67468663e+02
0.00000000e+00 -2.28103771e+02 -1.72679035e+02
0.00000000e+00 -1.82015882e+02 -1.78651409e+02
0.00000000e+00 -1.34339462e+02 -1.85136132e+02
0.00000000e+00 -8.58084140e+01 -1.91813073e+02
0.00000000e+00 -3.74725252e+01 -1.98303056e+02
0.00000000e+00 9.06846202e+00 -2.04217489e+02
0.00000000e+00 5.20141169e+01 -2.09270750e+02
0.00000000e+00 9.03825658e+01 -2.13365810e+02
0.00000000e+00 1.24630997e+02 -2.16472457e+02
0.00000000e+00 1.55411285e+02 -2.18339089e+02
0.00000000e+00 1.81090601e+02 -2.18458347e+02
0.00000000e+00 1.97379294e+02 -2.16458019e+02
0.00000000e+00 3.81535352e+01 2.99215984e+02
0.00000000e+00 2.17338196e+01 2.77268187e+02
0.00000000e+00 6.45826348e+00 2.65093424e+02
0.00000000e+00 -1.85613566e+01 2.58929651e+02
0.00000000e+00 -5.28506349e+01 2.55483108e+02
0.00000000e+00 -8.92333874e+01 2.51647026e+02
0.00000000e+00 -1.23255486e+02 2.46329134e+02
0.00000000e+00 -1.55384144e+02 2.40138111e+02
0.00000000e+00 -1.87297326e+02 2.34137587e+02
0.00000000e+00 -2.19201432e+02 2.29020405e+02
0.00000000e+00 -2.49982091e+02 2.24958614e+02
0.00000000e+00 -2.78331702e+02 2.21842938e+02
0.00000000e+00 -3.03344092e+02 2.19553234e+02
0.00000000e+00 -3.24469659e+02 2.18052501e+02
0.00000000e+00 -3.41298672e+02 2.17322950e+02
