ux uy uz
0.00000000e+00 -4.65806539e+01 1.10289253e+01
0.00000000e+00 -5.80791201e+01 1.06737428e+01
0.00000000e+00 -6.91430755e+01 1.03635128e+01
0.00000000e+00 -7.95942196e+01 1.01204545e+01
0.00000000e+00 -8.91445293e+01 9.94883480e+00
0.00000000e+00 -9.75260519e+01 9.84316190e+00
0.00000000e+00 -1.04537589e+02 9.79520453e+00
0.00000000e+00 -1.10035357e+02 9.79632016e+00
0.00000000e+00 -1.13914289e+02 9.83656325e+00
0.00000000e+00 -1.16099457e+02 9.90344192e+00
0.00000000e+00 -1.16545670e+02 9.98191521e+00
0.00000000e+00 -1.15238655e+02 1.00555833e+01
0.00000000e+00 -1.12194602e+02 1.01082964e+01
0.00000000e+00 -1.07458147e+02 1.01255378e+01
0.00000000e+00 -1.01099787e+02 1.00953502e+01
0.00000000e+00 -9.32133376e+01 1.00088693e+01
0.00000000e+00 -8.39135448e+01 9.86060523e+00
0.00000000e+00 -7.33337164e+01 9.64856669e+00
0.00000000e+00 -6.16233020e+01 9.37425286e+00
0.00000000e+00 -4.89453991e+01 9.04250209e+00
0.00000000e+00 -3.54742198e+01 8.66118554e+00
0.00000000e+00 -2.13925565e+01 8.24075141e+00
0.00000000e+00 -6.88927144e+00 7.79364384e+00
0.00000000e+00 7.84317237e+00 7.33363195e+00
0.00000000e+00 2.26111301e+01 6.87508785e+00
0.00000000e+00 3.72221336e+01 6.43225187e+00
0.00000000e+00 5.14871792e+01 6.01851977e+00
0.00000000e+00 6.52229330e+01 5.64578419e+00
0.00000000e+00 7.82538407e+01 5.32385883e+00
0.00000000e+00 9.04141274e+01 5.06001018e+00
0.00000000e+00 1.01549673e+02 4.85861708e+00
0.00000000e+00 1.11519745e+02 4.72097235e+00
0.00000000e+00 1.20198578e+02 4.64523460e+00
0.00000000e+00 1.27476776e+02 4.62653109e+00
0.00000000e+00 1.33262530e+02 4.65720574e+00
0.00000000e+00 1.37482624e+02 4.72719940e+00
0.00000000e+00 1.40083236e+02 4.82454371e+00
0.00000000e+00 1.41030498e+02 4.93594445e+00
0.00000000e+00 1.40310833e+02 5.04742637e+00
0.00000000e+00 1.37931039e+02 5.14500862e+00
0.00000000e+00 1.33918141e+02 5.21537864e+00
0.00000000e+00 1.28318998e+02 5.24653250e+00
0.00000000e+00 1.21199672e+02 5.22835137e+00
0.00000000e+00 1.12644577e+02 5.15308681e+00
0.00000000e+00 1.02755409e+02 5.01573206e+00
0.00000000e+00 9.16498809e+01 4.81426178e+00
0.00000000e+00 7.94602672e+01 4.54972907e+00
0.00000000e+00 6.63317940e+01 4.22621543e+00
0.00000000e+00 5.24208787e+01 3.85063601e+00
0.00000000e+00 3.78932502e+01 3.43240978e+00
0.00000000e+00 2.29219678e+01 2.98301027e+00
0.00000000e+00 7.68536235e+00 2.51541839e+00
0.00000000e+00 -7.63507884e+00 2.04350347e+00
0.00000000e+00 -2.28568589e+01 1.58136197e+00
0.00000000e+00 -3.77986291e+01 1.14264526e+00
0.00000000e+00 -5.22823333e+01 7.39908586e-01
0.00000000e+00 -6.61353164e+01 3.84012176e-01
0.00000000e+00 -7.91923741e+01 8.36028847e-02
0.00000000e+00 -9.12977205e+01 -1.55298841e-01
0.00000000e+00 -1.02306851e+02 -3.29587068e-01
0.00000000e+00 -1.12088277e+02 -4.39219820e-01
0.00000000e+00 -1.20525114e+02 -4.87222718e-01
0.00000000e+00 -1.27516496e+02 -4.79546635e-01
0.00000000e+00 -1.32978803e+02 -4.24786104e-01
0.00000000e+00 -1.36846685e+02 -3.33771894e-01
0.00000000e+00 -1.39073858e+02 -2.19057108e-01
0.00000000e+00 -1.39633677e+02 -9.43212840e-02
0.00000000e+00 -1.38519459e+02 2.62791328e-02
0.00000000e+00 -1.35744565e+02 1.28783028e-01
0.00000000e+00 -1.31342234e+02 2.00087546e-01
0.00000000e+00 -1.25365174e+02 2.28570141e-01
0.00000000e+00 -1.17884913e+02 2.04640144e-01
0.00000000e+00 -1.08990922e+02 1.21193586e-01
0.00000000e+00 -9.87895251e+01 -2.60503622e-02
0.00000000e+00 -8.74026070e+01 -2.38347327e-01
0.00000000e+00 -7.49661411e+01 -5.13869650e-01
0.00000000e+00 -6.16285538e+01 -8.47795024e-01
0.00000000e+00 -4.75489474e+01 -1.23253761e+00
0.00000000e+00 -3.28952039e+01 -1.65811062e+00
0.00000000e+00 -1.78419911e+01 -2.11260313e+00
0.00000000e+00 -2.56869346e+00 -2.58274837e+00
0.00000000e+00 1.27427082e+01 -3.05455653e+00
0.00000000e+00 2.79097868e+01 -3.51398191e+00
0.00000000e+00 4.27518248e+01 -3.94759275e+00
0.00000000e+00 5.70919539e+01 -4.34321180e+00
0.00000000e+00 7.07592539e+01 -4.69049711e+00
0.00000000e+00 8.35907899e+01 -4.98143553e+00
0.00000000e+00 9.54335637e+01 -5.21072513e+00
0.00000000e+00 1.06146356e+02 -5.37602849e+00
0.00000000e+00 1.15601441e+02 -5.47808457e+00
0.00000000e+00 1.23686145e+02 -5.52067376e+00
0.00000000e+00 1.30304237e+02 -5.51043756e+00
0.00000000e+00 1.35377130e+02 -5.45656141e+00
0.00000000e+00 1.38844871e+02 -5.37033548e+00
0.00000000e+00 1.40666916e+02 -5.26461427e+00
0.00000000e+00 1.40822671e+02 -5.15320051e+00
0.00000000e+00 1.39311798e+02 -5.05018250e+00
0.00000000e+00 1.36154274e+02 -4.96925651e+00
0.00000000e+00 1.31390214e+02 -4.92306622e+00
0.00000000e+00 1.25079451e+02 -4.92259090e+00
0.00000000e+00 1.17300883e+02 -4.97661142e+00
0.00000000e+00 1.08151598e+02 -5.09127987e+00
0.00000000e+00 9.77457916e+01 -5.26981371e+00
0.00000000e+00 8.62134823e+01 -5.51232961e+00
0.00000000e+00 7.36990504e+01 -5.81582570e+00
0.00000000e+00 6.03596100e+01 -6.17431413e+00
0.00000000e+00 4.63632351e+01 -6.57909889e+00
0.00000000e+00 3.18870536e+01 -7.01918711e+00
0.00000000e+00 1.71152283e+01 -7.48181585e+00
0.00000000e+00 2.23683828e+00 -7.95307122e+00
0.00000000e+00 -1.25563235e+01 -8.41857196e+00
0.00000000e+00 -2.70720224e+01 -8.86418660e+00
0.00000000e+00 -4.11199106e+01 -9.27675107e+00
0.00000000e+00 -5.45139005e+01 -9.64475265e+00
0.00000000e+00 -6.70745688e+01 -9.95894659e+00
0.00000000e+00 -7.86315786e+01 -1.02128738e+01
0.00000000e+00 -8.90261025e+01 -1.04032516e+01
0.00000000e+00 -9.81132250e+01 -1.05302162e+01
0.00000000e+00 -1.05764302e+02 -1.05974007e+01
